ReducedPer,ReducedCases,EfficientPer,EfficientCases
2.307692028415891983e+01,3.000000000000000000e+01,7.142527907960838363e+00,4.400000000000000000e+01
2.231908296742366460e+01,2.300000000000000000e+01,3.808048856195544118e+01,2.800000000000000000e+01
4.185939992444540536e+01,8.000000000000000000e+00,3.514385568575604424e+01,3.700000000000000000e+01
9.982056330544386569e+00,3.100000000000000000e+01,3.059109216797253339e+01,3.600000000000000000e+01
3.868296498842582753e+00,3.000000000000000000e+01,1.137103638469201172e+01,2.300000000000000000e+01
2.326080999345905198e+01,2.900000000000000000e+01,2.322126397635824091e+01,5.200000000000000000e+01
3.330441219073545511e+01,8.000000000000000000e+00,4.353279170889414473e+01,2.900000000000000000e+01
1.914466967585662971e+01,2.900000000000000000e+01,1.317488685848786645e+01,2.900000000000000000e+01
2.195266786000282622e+01,1.400000000000000000e+01,2.411906228320993506e+01,4.000000000000000000e+01
1.081203215707966514e+01,2.500000000000000000e+01,2.713537588773686693e+01,4.000000000000000000e+01
2.650855636191754527e+01,1.200000000000000000e+01,1.951417734622044975e+01,3.600000000000000000e+01
5.310940755237636424e-01,2.800000000000000000e+01,1.549006104919078375e+01,3.100000000000000000e+01
4.208028824979675164e+01,2.800000000000000000e+01,2.860583955465545358e+01,4.600000000000000000e+01
3.013496721335368989e+01,1.000000000000000000e+01,3.331463422992384693e+01,4.500000000000000000e+01
3.080799923847365918e+01,1.200000000000000000e+01,2.634326007358662736e+01,3.700000000000000000e+01
4.262494509990886371e+01,6.000000000000000000e+00,1.304363574958924410e+01,4.000000000000000000e+01
2.460133769635906020e+01,1.900000000000000000e+01,1.637982068444019390e+01,3.600000000000000000e+01
1.648661842595588922e+01,2.400000000000000000e+01,4.817880447172178293e+01,2.700000000000000000e+01
4.599887474449923985e+01,1.300000000000000000e+01,8.748292829680659466e+00,5.700000000000000000e+01
4.128102481275983848e+01,1.400000000000000000e+01,2.870637069812720377e+00,3.700000000000000000e+01
1.003174134453429467e+01,2.400000000000000000e+01,3.412415507527233416e+01,5.400000000000000000e+01
3.023086444717404220e+01,1.500000000000000000e+01,3.722915209476121845e+01,3.300000000000000000e+01
4.266306557557657442e+01,9.000000000000000000e+00,1.090130007448364324e+01,6.300000000000000000e+01
3.122773101525810802e+01,1.300000000000000000e+01,1.957054692298751775e+01,5.300000000000000000e+01
3.919036234959845189e+01,1.700000000000000000e+01,7.731427389296308128e+00,4.100000000000000000e+01
3.332840776094712965e+01,1.000000000000000000e+01,2.824317204490423094e+01,3.800000000000000000e+01
3.869862364852052394e+01,1.300000000000000000e+01,3.806840468640182706e+01,4.900000000000000000e+01
8.118539601351670854e-02,3.400000000000000000e+01,3.968012143551939630e+01,3.900000000000000000e+01
2.349228588096108439e+01,1.400000000000000000e+01,8.871842454523493515e+00,2.500000000000000000e+01
4.494732526484266089e+01,1.300000000000000000e+01,3.491315792458289025e+01,4.600000000000000000e+01
1.064600752778462933e+01,3.500000000000000000e+01,4.639663103319615800e+01,4.000000000000000000e+01
2.431334838809560139e+01,2.800000000000000000e+01,3.550681035758604764e+01,3.900000000000000000e+01
4.757180270543849332e+01,1.100000000000000000e+01,5.854825342116520837e+00,4.100000000000000000e+01
3.593717560557210078e+01,1.800000000000000000e+01,2.877287409086779491e+01,4.300000000000000000e+01
1.920694849805295590e+01,2.400000000000000000e+01,3.717249418299628516e+00,4.300000000000000000e+01
3.194383303386915074e+01,1.700000000000000000e+01,1.389399127808099621e+01,4.900000000000000000e+01
3.702128511391962462e+01,1.300000000000000000e+01,3.561351743647178836e+01,4.100000000000000000e+01
1.666779074921754855e+01,2.600000000000000000e+01,3.181292769620649352e+01,4.600000000000000000e+01
3.861412575525234558e+01,1.400000000000000000e+01,3.060797171468336941e+01,3.600000000000000000e+01
1.520449971042752146e+01,2.100000000000000000e+01,2.169473207075925814e+01,3.900000000000000000e+01
1.543286161235506526e+01,2.200000000000000000e+01,3.247488153357951290e+01,2.900000000000000000e+01
2.154495087653851471e+01,2.900000000000000000e+01,2.180171830446642289e+01,4.800000000000000000e+01
3.429393091660748460e+00,3.800000000000000000e+01,5.309466166396314968e+00,3.800000000000000000e+01
4.789766538564195031e+01,1.300000000000000000e+01,3.191915768008168897e+00,3.100000000000000000e+01
1.164870455435109697e+01,2.200000000000000000e+01,8.004585818029120503e+00,2.300000000000000000e+01
4.930251791445847687e+01,6.000000000000000000e+00,4.443779270116681346e+01,3.800000000000000000e+01
4.857270291846727162e+01,8.000000000000000000e+00,2.857462454215853143e+01,4.600000000000000000e+01
3.211012270147312364e+01,1.100000000000000000e+01,4.014025636646452000e+01,3.900000000000000000e+01
4.265907798713506338e+01,5.000000000000000000e+00,2.682307465138351432e+01,3.600000000000000000e+01
1.247539110652495786e+01,2.200000000000000000e+01,3.045211486805035150e+01,4.500000000000000000e+01
